Animal Type,Breed,Age,Gender,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Appetite Loss,Vomiting,Diarrhea,Coughing,Labored Breathing,Lameness,Skin Lesions,Body Temperature,Heart Rate,Disease Prediction,Treatment,Advice Prevention
Cat,Siberian,5,Male,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2°C,140,Feline Leukemia Virus,"Immunostimulants (Lymphocyte T-Cell Immunomodulator, LTCI) and supportive care. Antiviral treatments (zidovudine) in some cases. Treat all secondary infections aggressively with antibiotics or antifungals.",FeLV vaccination is the primary preventive. Quarantine and test any new cat entering the home. Spay/neuter to reduce fighting and virus transmission.
Cow,Ayrshire,7,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,Yes,Yes,Yes,Yes,39.4°C,75,Bovine Johne'S Disease,"No effective curative treatment available. Supportive nutrition with high-energy, easily digestible feed can extend productive life. Cull confirmed-positive animals to prevent herd spread.","Implement a Johne's disease herd management program: annual ELISA testing, test-and-cull strategy. Prevent fecal contamination of feed and water. Separate calves from adult cows at birth."
Dog,Chihuahua,3,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,No,No,Yes,Yes,Yes,Yes,39.3°C,135,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Burmese,4,Female,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.0°C,140,Feline Chlamydiosis,Doxycycline (10 mg/kg orally once daily) for 4-6 weeks; topical tetracycline eye ointment for ocular signs. Azithromycin is an alternative for cats that cannot tolerate doxycycline.,Treat all in-contact cats concurrently. Disinfect bedding and food bowls regularly. Consider vaccination in high-risk multi-cat environments.
Cow,Guernsey,5,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,No,Yes,Yes,Yes,No,39.6°C,85,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Poodle,3,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.1°C,120,Kennel Cough,"Doxycycline (5 mg/kg orally twice daily for 10 days) for Bordetella; cough suppressants (hydrocodone, butorphanol) for comfort. Severe or complicated cases (pneumonia) may need hospitalization and IV antibiotics.","Bordetella, parainfluenza, and adenovirus-2 vaccines required before kennel stays or group activities. Ensure good kennel ventilation. Disinfect shared items. Isolate coughing dogs."
Cat,Maine Coon,4,Male,Vomiting,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,No,Yes,Yes,39.0°C,140,Feline Leukemia Virus,"Immunostimulants (Lymphocyte T-Cell Immunomodulator, LTCI) and supportive care. Antiviral treatments (zidovudine) in some cases. Treat all secondary infections aggressively with antibiotics or antifungals.",FeLV vaccination is the primary preventive. Quarantine and test any new cat entering the home. Spay/neuter to reduce fighting and virus transmission.
Cow,Charolais,8,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,No,Yes,Yes,Yes,39.2°C,75,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Beagle,4,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,No,Yes,Yes,No,Yes,Yes,39.2°C,130,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Siamese,3,Female,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.0°C,140,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Simmental,7,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,No,Yes,No,Yes,39.3°C,75,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Dachshund,3,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,No,Yes,No,Yes,Yes,39.0°C,115,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Bengal,4,Male,Vomiting,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,No,Yes,Yes,39.2°C,145,Feline Panleukopenia,"Intensive supportive care: IV fluid and electrolyte replacement, antiemetics (maropitant), broad-spectrum antibiotics (ampicillin + enrofloxacin), and nutritional support. Whole blood or plasma transfusion for severe cases.",FVRCP vaccination (core) is highly effective; start series at 6-8 weeks. Isolate unvaccinated kittens from all feline contact. Use parvocide disinfectants (dilute bleach) in contaminated areas.
Cow,Jersey,6,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,Yes,No,39.5°C,70,Bovine Johne'S Disease,"No effective curative treatment available. Supportive nutrition with high-energy, easily digestible feed can extend productive life. Cull confirmed-positive animals to prevent herd spread.","Implement a Johne's disease herd management program: annual ELISA testing, test-and-cull strategy. Prevent fecal contamination of feed and water. Separate calves from adult cows at birth."
Dog,Bulldog,5,Female,Coughing,Lethargy,Loss Of Appetite,Fever,Yes,Yes,Yes,No,Yes,Yes,Yes,39.3°C,120,Canine Cough,Doxycycline or amoxicillin-clavulanate for bacterial component; butorphanol or hydrocodone as cough suppressants. Nebulization therapy helpful for persistent cases. Rest and humidified air aid recovery.,"Core Bordetella, parainfluenza, and adenovirus-2 vaccines before any dog-group activities. Disinfect shared water bowls and toys. Isolate coughing dogs from healthy ones."
Cow,Holstein,8,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,No,Yes,No,39.5°C,85,Bovine Respiratory Disease Complex,Combination antibiotic therapy based on herd pathogen profile; NSAIDs for fever and inflammation. Monitor and re-treat non-responders within 48-72 hours with an alternative antibiotic.,"Comprehensive vaccination protocol including IBR, BVD, BPI3, BRSV. Good colostrum management in calves. Processing protocols upon feedlot entry reduce BRD risk significantly."
Dog,Shih Tzu,4,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,Yes,Yes,No,No,Yes,39.2°C,115,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Abyssinian,2,Female,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,No,Yes,No,39.1°C,140,Feline Infectious Peritonitis,"GS-441524 (antiviral, 4-6 mg/kg SQ or orally) for 12 weeks is the current gold-standard treatment with high remission rates. Prednisolone as supportive anti-inflammatory; drainage of effusions for comfort.",Reduce fecal-oral transmission of FCoV in multi-cat households (daily litter box cleaning). Minimize stress. An intranasal FIP vaccine is available in some countries but efficacy is debated.
Cow,Angus,5,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.3°C,75,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Cocker Spaniel,2,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,No,Yes,Yes,Yes,No,Yes,39.0°C,125,Distemper,"Supportive care is the only treatment option; IV fluids, anticonvulsants for seizures, antibiotics for pneumonia, and physiotherapy for neurological deficits. Ribavirin has been used experimentally.",Core CDV vaccination is the most effective prevention. Avoid exposure of unvaccinated dogs to wildlife. Isolate affected dogs to prevent spread.
Cat,Ragdoll,5,Male,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.2°C,145,Feline Leukemia Virus,"Immunostimulants (Lymphocyte T-Cell Immunomodulator, LTCI) and supportive care. Antiviral treatments (zidovudine) in some cases. Treat all secondary infections aggressively with antibiotics or antifungals.",FeLV vaccination is the primary preventive. Quarantine and test any new cat entering the home. Spay/neuter to reduce fighting and virus transmission.
Cow,Limousin,6,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.5°C,80,Bovine Respiratory Disease Complex,Combination antibiotic therapy based on herd pathogen profile; NSAIDs for fever and inflammation. Monitor and re-treat non-responders within 48-72 hours with an alternative antibiotic.,"Comprehensive vaccination protocol including IBR, BVD, BPI3, BRSV. Good colostrum management in calves. Processing protocols upon feedlot entry reduce BRD risk significantly."
Dog,Rottweiler,3,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.2°C,120,Leptospirosis,Penicillin G or amoxicillin for the acute bacteremic phase; doxycycline (5 mg/kg orally twice daily for 2 weeks) to clear renal shedding. Aggressive IV fluid therapy for kidney/liver support. Monitor electrolytes closely.,"Annual leptospirosis vaccination. Avoid walking dogs near rivers, flooded areas, or wildlife habitats. Rodent control. Wear gloves when handling urine from infected dogs."
Cat,Bengal,4,Male,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,No,Yes,No,39.1°C,135,Feline Immunodeficiency Virus,No curative treatment; management focuses on supportive care and treating opportunistic infections promptly. Antiviral drugs (zidovudine) may slow progression. Regular blood counts guide treatment decisions.,Keep FIV-positive cats strictly indoors to prevent transmission (bite wounds) and secondary infections. Vaccinate against other pathogens. Biannual veterinary checks including blood work.
Cow,Jersey,3,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,No,Yes,Yes,Yes,No,No,39.4°C,95,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Cow,Angus,4,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,No,Yes,39.5°C,90,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Chihuahua,2,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,Yes,No,No,Yes,Yes,39.3°C,130,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cat,Maine Coon,6,Male,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,No,Yes,Yes,Yes,No,39.4°C,140,Feline Herpesvirus,Famciclovir (antiviral) orally for active outbreaks; topical idoxuridine or trifluridine eye drops for ocular herpes. L-lysine supplementation (500 mg/day) may reduce viral replication. Antibiotics for secondary infections.,Annual FVRCP vaccine reduces severity of disease. Minimize stress (a key reactivation trigger). Use lysine-supplemented food as long-term management.
Cow,Charolais,8,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,Yes,Yes,Yes,39.3°C,80,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Beagle,2,Male,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,Yes,Yes,No,Yes,Yes,39.4°C,120,Canine Leptospirosis,Ampicillin or amoxicillin (initial 2-week course) to clear leptospiremia; followed by doxycycline (4 weeks) to eliminate renal carrier state. IV fluids for renal and hepatic support; dialysis in severe renal failure.,"Leptospirosis (4-serovar) vaccine annually, especially for dogs with outdoor/water exposure. Avoid contact with stagnant water and wildlife urine. Rodent control around property."
Cat,Persian,4,Female,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,Yes,No,Yes,No,Yes,39.0°C,130,Feline Asthma,"Corticosteroids (prednisolone, dexamethasone) to reduce airway inflammation; bronchodilators (albuterol, terbutaline) for acute relief. Inhaled medications via cat-specific spacers (AeroKat) are preferred for long-term management.","Remove airborne triggers: cigarette smoke, dusty litter, aerosols, and scented candles. Maintain healthy body weight. Annual radiographs to monitor airway changes."
Cow,Holstein,3,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,No,Yes,Yes,39.2°C,90,Bovine Mastitis,"Depending on type of bacteria, the cause we select suitable medicine: - Cloxacilin 200g + Ampicillin 75mg, pump into the teat once per day, in 3 -5 days continuously - Penicillin 100.000UI + Streptomycin 1g, pump into the teat once per day, in 3 -5 days continuously - Mastijet Fort, Cloxaman, pump into the teat, 1 tube/teat, once per day, in 3 -5 days continuously - Hanocilin: Muscle injection or under skin injection 1ml/10kg weight, in 3 -5 days continuously - Hancoli: Muscle injection 1ml/10kg weight, in 3 -5 days continuously - Tetramycin *LA: Muscle injection 1ml/10kg weight, in 3 -5 days, continuously Notice: Before pumping antibiotics, we have to remove all milk out. For dry cow, beside above drugs, we can use following medicine: - Penicillin 100.000UI + Kanamycin 1g: pump into the teat once per day, in 3 -5 days continuously - Procacium penicillin 10.000UI + Furaltadone 500mg: pump into the teat once per day, in 3 -5 days continuously - Beside antibiotics we can use vitamins and other tonic medicines and keep the cow in clean place. Especially, if the cause is fungi or Mycoplasma, antibiotics will not be effective. For treatment of these cases, have to keep the cattle in hygiene environment and do milking 5 -6 times a day continuously until it recovers.","Teat dipping with iodine post-milking, dry-cow antibiotic therapy, and somatic cell count monitoring. Maintain hygienic milking equipment and clean, dry housing. Cull cows with chronic or recurrent mastitis."
Cow,Guernsey,3,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,No,Yes,Yes,39.4°C,85,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Cow,Ayrshire,3,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,Yes,No,No,39.4°C,90,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Dog,Boxer,3,Female,Lethargy,Vomiting,Loss Of Appetite,Fever,Yes,Yes,Yes,Yes,Yes,No,Yes,39.3°C,120,Canine Infectious Hepatitis,"IV fluid therapy (Lactated Ringer's + dextrose), hepatoprotective agents, antibiotics for secondary infections. Avoid corticosteroids which may worsen corneal edema ('blue eye'). Blood or plasma transfusion if needed.",DHPP (core) vaccination is highly protective. Annual or triennial boosters. Keep unvaccinated puppies away from potentially infected dogs and environments.
Cat,Maine Coon,5,Male,Coughing,Loss Of Appetite,Nasal Discharge,Fever,Yes,Yes,Yes,Yes,No,Yes,No,39.0°C,135,Feline Panleukopenia Virus,IV fluid therapy is the cornerstone; antibiotics to prevent sepsis from gut bacteria translocation. Antiemetics and nutritional support (feeding tube if anorexic). Intensive care monitoring for temperature and hydration.,Core FVRCP vaccination from 6-8 weeks of age with boosters. The virus survives in the environment for months; disinfect with sodium hypochlorite.
Cow,Jersey,2,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,No,Yes,Yes,Yes,39.2°C,95,Bovine Mastitis,"Depending on type of bacteria, the cause we select suitable medicine: - Cloxacilin 200g + Ampicillin 75mg, pump into the teat once per day, in 3 -5 days continuously - Penicillin 100.000UI + Streptomycin 1g, pump into the teat once per day, in 3 -5 days continuously - Mastijet Fort, Cloxaman, pump into the teat, 1 tube/teat, once per day, in 3 -5 days continuously - Hanocilin: Muscle injection or under skin injection 1ml/10kg weight, in 3 -5 days continuously - Hancoli: Muscle injection 1ml/10kg weight, in 3 -5 days continuously - Tetramycin *LA: Muscle injection 1ml/10kg weight, in 3 -5 days, continuously Notice: Before pumping antibiotics, we have to remove all milk out. For dry cow, beside above drugs, we can use following medicine: - Penicillin 100.000UI + Kanamycin 1g: pump into the teat once per day, in 3 -5 days continuously - Procacium penicillin 10.000UI + Furaltadone 500mg: pump into the teat once per day, in 3 -5 days continuously - Beside antibiotics we can use vitamins and other tonic medicines and keep the cow in clean place. Especially, if the cause is fungi or Mycoplasma, antibiotics will not be effective. For treatment of these cases, have to keep the cattle in hygiene environment and do milking 5 -6 times a day continuously until it recovers.","Teat dipping with iodine post-milking, dry-cow antibiotic therapy, and somatic cell count monitoring. Maintain hygienic milking equipment and clean, dry housing. Cull cows with chronic or recurrent mastitis."
Cow,Simmental,4,Female,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,Yes,No,No,39.4°C,100,Bovine Respiratory Disease,"Tulathromycin, florfenicol, or enrofloxacin based on culture/sensitivity. NSAIDs to reduce fever and inflammation. Severely ill animals may need IV fluids and vitamin supplementation.","Multi-pathogen respiratory vaccines (modified-live or killed) administered before periods of stress. Reduce co-mingling and transportation stress. Maintain clean, well-ventilated housing."
Cow,Dexter,2,Male,Coughing,Loss Of Appetite,Lethargy,Fever,Yes,Yes,Yes,Yes,No,Yes,No,39.4°C,95,Bovine Tuberculosis,"There is no practical curative treatment for bovine tuberculosis. Infected cattle must be slaughtered under official disease eradication programs. Antibiotics (isoniazid, streptomycin) are used only in exceptional circumstances under strict veterinary supervision.","Implement a test-and-slaughter program using the tuberculin skin test (TST). Purchase animals only from TB-free herds. Prevent contact with wildlife reservoirs (badgers, deer). Pasteurize all milk. Regular herd testing as per national regulations."
Dog,Golden Retriever,5,Male,Coughing,Lethargy,Loss Of Appetite,Fever,Yes,Yes,No,Yes,No,No,No,39.2°C,110,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Dog,Labrador,4,Male,Vomiting,Loss Of Appetite,Lethargy,Fever,Yes,Yes,No,Yes,No,No,No,39.2°C,100,Canine Parvovirus,Intensive IV fluid and electrolyte replacement to correct dehydration and hypovolemia. Antiemetics (maropitant 1 mg/kg SC daily); antibiotics (ampicillin + enrofloxacin) to prevent sepsis. Plasma or blood transfusion for hypoproteinemia.,Core CPV vaccination starting at 6-8 weeks; every 2-4 weeks until 16 weeks old. Keep unvaccinated puppies away from dog parks and unknown dogs. Use parvocide disinfectants on contaminated areas.
Cat,Persian,3,Female,Coughing,Sneezing,Nasal Discharge,Fever,Yes,Yes,No,Yes,No,No,No,39.1°C,110,Feline Calicivirus,"Supportive care: IV/SQ fluid therapy, nutritional support, and appetite stimulants. NSAIDs (meloxicam) for fever and oral ulcer pain; antibiotics (doxycycline) for secondary bacterial infections.",Annual FVRCP vaccination is the most effective preventive. Isolate infected cats immediately and disinfect shared surfaces with bleach solution. Reduce stress and overcrowding in multi-cat households.
Dog,Labrador,4,Male,Fever,Lethargy,Appetite Loss,Vomiting,Yes,Yes,No,No,No,No,No,39.5°C,120,Parvovirus,"Hospitalization with IV crystalloid fluids, colloids if albumin is low, antiemetics (maropitant), and broad-spectrum antibiotics. Anti-endotoxin therapy; early enteral nutrition improves outcomes. Oseltamivir as adjunct in some protocols.",DHPP vaccination is core and highly protective. Ensure complete puppy series and triennial adult boosters. Contaminated environments should be disinfected with 1:30 bleach. Quarantine sick puppies.
Cat,Siamese,2,Female,Coughing,Sneezing,Eye Discharge,Nasal Discharge,No,No,No,Yes,No,No,No,38.9°C,150,Upper Respiratory Infection,"Antibiotics (doxycycline or amoxicillin-clavulanate) for bacterial infections; antiviral famciclovir if herpesvirus involved. Nebulization, nasal decongestants, and nutritional support for recovery.",Vaccinate with FVRCP; isolate infected cats. Clean nasal discharge regularly; use a humidifier. Reduce stress and overcrowding. Wash hands between handling sick and healthy cats.
Cow,Holstein,3,Female,Fever,Nasal Discharge,Labored Breathing,Coughing,Yes,No,No,Yes,Yes,No,No,40.1°C,90,Foot And Mouth Disease,• the external application of antiseptics contributes to the healing of the ulcers and wards off attacks by flies. • a common and inexpensive dressing for the lesions in the feet is a mixture of coal-tar and copper sulphate in the proportion of 5:1.,• heavy milch animals and exotic breeds of cattle bred for milk should be protected regularly. • it is advisable to carry out two vaccinations at an interval of six months followed by an annual vaccination programme. • isolation and segregation of sick animals. It should be informed immediately to the veterinary doctor • disinfection of animal sheds with bleaching powder or phenol • attendants and equipment’s for sick animals should be ideally separate • the equipment’s should be thoroughly sanitized • proper disposal of left over feed by the animal • proper disposal of carcasses • control of flies
Dog,Beagle,1,Male,Diarrhea,Vomiting,Lethargy,Appetite Loss,Yes,Yes,Yes,No,No,No,No,39.2°C,130,Gastroenteritis,Treatment varies according to the condition. The following are some medicines that may be used; ; Intravenous or subcutaneous fluids in extreme cases of dehydration; Antibiotics in the presence of an infection; oral steroids such as prednisolone in the event of inflammation,Severe diarrhoea or vomiting may lead to dehydration. It is important to consult your veterinarian immediately.; offer your pet lots of fresh water to maintain hydration.; Change in diet is crucial to decrease digestive tract problems. Choose food which is high in soluble and insoluble fibre to be easily digestible.; Never feed your pet scrapes of skin or other left over’s which are not good for you. If they are not good for your neither are for your pet.
Cat,Persian,5,Male,Lethargy,Appetite Loss,Skin Lesions,No,Yes,No,No,No,No,No,Yes,38.7°C,160,Fungal Infection,Systemic antifungals based on fungus type: itraconazole or fluconazole for dermatophytes and yeast; terbinafine for ringworm; amphotericin B for systemic fungal infections. Topical antifungal shampoos and creams as adjuncts.,Keep skin dry and clean; treat all in-contact animals for ringworm simultaneously. Wear gloves during treatment. Disinfect environment with dilute bleach. Boost immune health through proper nutrition.
Dog,German Shepherd,3,Female,Lameness,Fever,Skin Lesions,Lethargy,Yes,No,No,No,No,Yes,Yes,39.3°C,110,Lyme Disease,Doxycycline (10 mg/kg orally once daily for 28-30 days) is the treatment of choice. Amoxicillin or azithromycin as alternatives. NSAIDs for joint pain relief. Repeat C6 antibody test at 6 months to assess response.,"Lyme disease vaccination for dogs in endemic areas. Monthly tick preventives (isoxazolines: afoxolaner, fluralaner, sarolaner). Daily tick checks and prompt removal. Avoid wooded/tall-grass areas during peak tick season."
Cat,Maine Coon,2,Male,Vomiting,Appetite Loss,Lethargy,Diarrhea,Yes,Yes,Yes,No,No,No,No,39.1°C,140,Intestinal Parasites,Specific dewormers based on parasite: fenbendazole or pyrantel pamoate for roundworms/hookworms; praziquantel for tapeworms; metronidazole or fenbendazole for Giardia. Repeat treatment after 2-3 weeks.,Routine fecal examination twice yearly; monthly broad-spectrum parasite preventives. Clean litter box daily; prevent hunting of prey animals which carry tapeworm larvae.
Dog,Bulldog,5,Male,Labored Breathing,Coughing,Nasal Discharge,Appetite Loss,Yes,No,No,Yes,Yes,No,No,40.0°C,115,Canine Distemper,"No specific antiviral treatment; intensive supportive care: IV fluids, anticonvulsants (phenobarbital, diazepam) for neurological signs, antibiotics for secondary infections, nutritional support. Vitamin A supplementation may be beneficial.","Core CDV vaccination is essential starting at 6-8 weeks; booster every 3-4 weeks until 16 weeks, then every 1-3 years. Keep unvaccinated puppies away from wildlife (raccoons, foxes are reservoirs)."
Cow,Jersey,4,Female,Lethargy,Decreased Milk Yield,Fever,No,Yes,No,No,No,No,No,No,39.6°C,70,Mastitis,"Intramammary antibiotic infusion (cloxacillin, penicillin-streptomycin, or cefapirin) directly into the affected teat after complete milk-out; systemic antibiotics (penicillin, amoxicillin) for severe cases with fever. NSAIDs (flunixin meglumine) for pain and inflammation.","Implement a dry-cow therapy program; dip teats in germicidal post-milking iodine solution after every milking. Maintain clean, dry bedding; cull chronically infected cows. Regular somatic cell count monitoring of bulk milk."
